month,model,n_obs,direction_accuracy,balanced_accuracy,f1_positive,mcc,rmse_return,mae_return
2023-09,ARIMAX simple news,21,0.5238095238095238,0.5357142857142857,0.5833333333333334,0.06741998624632421,0.014395448832231279,0.010328642814776698
2023-09,LLM multi-agent hybrid,21,0.5714285714285714,0.5714285714285714,0.64,0.13483997249264842,0.01593734148299781,0.013320797869590445
2023-09,Market-only Ridge/LogReg,21,0.42857142857142855,0.5,0.4,0.0,0.015133396836970148,0.01160572154614978
2023-09,Naive previous return,21,0.5238095238095238,0.4285714285714286,0.6666666666666666,-0.15811388300841897,0.017650526134129856,0.013466656901449372
2023-09,VAR market system,21,0.5714285714285714,0.42857142857142855,0.7272727272727273,-0.22941573387056177,0.01493833954766043,0.00943565590157174
2023-09,VARX/Ridge news system,21,0.6666666666666666,0.6428571428571428,0.7407407407407407,0.2773500981126146,0.014578462962263219,0.011157682746604152
2023-10,ARIMAX market,22,0.5454545454545454,0.5333333333333333,0.4444444444444444,0.06900655593423542,0.027237517625265054,0.02201428148475503
2023-10,ARIMAX simple news,22,0.5454545454545454,0.5333333333333333,0.4444444444444444,0.06900655593423542,0.027165663361664167,0.022448240318547284
2023-10,LLM multi-agent hybrid,22,0.5909090909090909,0.6083333333333334,0.64,0.23162640965743445,0.0323390526346265,0.026100174038538395
2023-10,Market-only Ridge/LogReg,22,0.5909090909090909,0.6,0.6086956521739131,0.20254787341673333,0.028561820454687234,0.023071688222023042
2023-10,Naive previous return,22,0.4090909090909091,0.4,0.3157894736842105,-0.20254787341673333,0.04385364191005765,0.03512529513282881
2023-10,VAR market system,22,0.5454545454545454,0.5666666666666667,0.6153846153846154,0.14907119849998599,0.029186725641416972,0.02346210833261174
2023-10,VARX/Ridge news system,22,0.5,0.5,0.47619047619047616,0.0,0.031125495019001113,0.025477903618525265
2023-11,ARIMAX market,22,0.4090909090909091,0.34615384615384615,0.0,-0.3922322702763681,0.027418142933629125,0.022229992402376973
2023-11,ARIMAX simple news,22,0.4090909090909091,0.34615384615384615,0.0,-0.3922322702763681,0.02742134698943312,0.0223327353658179
2023-11,LLM multi-agent hybrid,22,0.6363636363636364,0.5897435897435898,0.42857142857142855,0.21057989315866538,0.023975165014949514,0.020005747333307535
2023-11,Market-only Ridge/LogReg,22,0.45454545454545453,0.452991452991453,0.4,-0.09245003270420485,0.02621171573411171,0.0213711749141933
2023-11,Naive previous return,22,0.3181818181818182,0.30341880341880345,0.21052631578947367,-0.38821675738207223,0.04164328137494995,0.03509683307122618
2023-11,VAR market system,22,0.36363636363636365,0.41025641025641024,0.46153846153846156,-0.21057989315866538,0.025013124606620724,0.020273969852735513
2023-11,VARX/Ridge news system,22,0.5,0.5256410256410257,0.5217391304347826,0.052414241836095915,0.0261047309802135,0.021641616259367384
2023-12,ARIMAX market,21,0.6190476190476191,0.4642857142857143,0.0,-0.15811388300841897,0.019528412911674762,0.014736671269332416
2023-12,ARIMAX simple news,21,0.6190476190476191,0.4642857142857143,0.0,-0.15811388300841897,0.019528155115069862,0.014502411063597351
2023-12,LLM multi-agent hybrid,21,0.6666666666666666,0.6071428571428571,0.46153846153846156,0.22360679774997896,0.019755394840373502,0.015773830279607187
2023-12,Market-only Ridge/LogReg,21,0.6190476190476191,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.017343221867209057,0.013850204701906899
2023-12,Naive previous return,21,0.5238095238095238,0.4642857142857143,0.2857142857142857,-0.07142857142857142,0.026342417946901987,0.01998886458605288
